First Name,Last Name,Citation Count,Gender of Citation,Article Author,Gender of Article Author,JS or RS,field,journal,time period
Zvi, Ganin,1,1,0,1,JS,1,MJ,3
Victoria,Aarons,2,0,0,1,JS,3,PRO,3
Victoria,Aarons,1,0,0,1,JS,3,PRO,3
Victoria,Aarons,9,0,0,0,JS,3,PRO,3
Mona,Abaza,1,0,0,1,RS,5,JAAR,3
Mahmud,Abd al-Rahman,1,1,0,1,RS,5,JAAR,3
Galilou,Abdoulaye,1,0,0,1,RS,5,JAAR,3
Ananda,Abeysekara,1,0,0,1,RS,4,JAAR,1
Susan,Abraham,1,0,0,0,RS,1,JAAR,3
Ervand,Abrahamian,1,1,0,0,RS,5,JAAR,3
Binyamin,Abrahamov,8,1,0,1,RS,2,JAAR,2
Binyamin,Abrahamov,2,1,0,1,JS,2,JQR,2
Shraga,Abrahamson,2,1,0,1,JS,2,JQR,2
Dvir,Abramovich,1,1,0,0,JS,3,PRO,3
Tsilah,Abramovitz-Ratner,1,0,0,0,JS,3,PRO,3
Hirsz,Abramowica,1,1,0,1,JS,3,PRO,3
Daniel,Abrams,3,1,0,1,JS,2,JSS,3
Henry,Abramson,3,1,0,1,JS,1,MJ,3
Edward,Abramson,1,1,0,0,JS,5,AJSR,3
Sarah,Abrevaya Stein,1,0,0,0,JS,1,AJSR,3
Sarah,Abrevaya Stein,1,0,0,1,JS,1,JSS,3
Lila,Abu Lughod,2,0,0,0,RS,1,JAAR,3
Ali,Abubaker,1,1,0,1,RS,5,JAAR,3
Jamil,Abun-Nasr,1,1,0,1,RS,5,JAAR,3
Gilbert,Achcar,1,1,0,1,JS,5,AJSR,3
Gilbert,Achcar,2,1,0,1,JS,1,JSS,3
Ahmed,Achrati,2,1,0,0,JS,4,AJSR,1
Monika,Adamczyk-Garbowska,1,0,0,0,JS,3,PRO,3
Carol,Adams,1,0,0,0,JS,3,JQR,3
Jenni,Adams,1,0,0,0,JS,3,PRO,3
Carol,Adams,2,0,0,0,JS,3,PRO,3
Peter,Adamson,1,1,0,1,RS,2,JAAR,2
Claude,Addas,3,1,0,1,RS,2,JAAR,2
Rachel,Adelman,3,0,0,0,JS,4,AJSR,1
